date,place,company_name,budget,status,result,space_flight_name
"Wed Feb 15, 1995 16:48 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $20.0 million,Status: Retired,Success,Soyuz U | Progress M-26
"Fri Feb 03, 1995 05:22 UTC"," Kennedy Space Center, Florida, USA",NASA,Price: $450.0 million,Status: Retired,Success,Space Shuttle Discovery | STS-63
"Sun Jan 29, 1995 01:25 UTC"," Cape Canaveral SFS, Florida, USA",Lockheed,Price: $0.0 million,Status: Retired,Success,Atlas II | UFO 4 (USA-108)
"Wed Jan 25, 1995 22:40 UTC"," Xichang Satellite Launch Center, China",CASC,Price: $0.0 million,Status: Retired,Failure,Long March 2E | Apstar 2
"Tue Jan 24, 1995 03:54 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,"Cosmos-3M | Tsikada 1, Faisat 1 & Astrid 1"
"Sun Jan 15, 1995 13:45 UTC"," Uchinoura Space Center, Japan",ISAS,Price: $0.0 million,Status: Retired,Partial Failure,Mu-III S2 | EXPRESS
"Tue Jan 10, 1995 06:18 UTC"," Cape Canaveral SFS, Florida, USA",ILS,Price: $0.0 million,Status: Retired,Success,Atlas IIAS | Intelsat 704
"Fri Dec 30, 1994 10:02 UTC"," Vandenberg SFB, California, USA",General Dynamics,Price: $0.0 million,Status: Retired,Success,Atlas-E/F Star-37S-ISS | NOAA-J
"Thu Dec 29, 1994 11:30 UTC"," Baikonur Cosmodrome, Kazakhstan",VKS RF,Price: $20.0 million,Status: Retired,Success,Soyuz U | Cosmos 2305
"Wed Dec 28, 1994 11:30 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,Proton K/Block-DM-2 | Raduga 32
"Mon Dec 26, 1994 22:26 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Tsyklon-3 | Cosmos 2299 to 2304
"Mon Dec 26, 1994 03:01 UTC"," Baikonur Cosmodrome, Kazakhstan",VKS RF,Price: $0.0 million,Status: Retired,Success,Rokot/Briz K | Radio-ROSTO & Naryad-V
"Thu Dec 22, 1994 22:19 UTC"," Cape Canaveral SFS, Florida, USA",Martin Marietta,Price: $0.0 million,Status: Retired,Success,Titan IV(402)A | DSP-17 (USA-107)
"Tue Dec 20, 1994 05:11 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Cosmos-3M | Cosmos 2298
"Fri Dec 16, 1994 11:59 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,Proton K/Block-DM-2 | Luch 1
"Wed Dec 14, 1994 14:21 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Molniya-M /Block ML | Molniya-1T n°162
"Thu Dec 01, 1994 22:57 UTC"," Guiana Space Centre, French Guiana, France",Arianespace,Price: $0.0 million,Status: Retired,Failure,Ariane 42P | Panamsat-3
"Tue Nov 29, 1994 17:02 UTC"," Xichang Satellite Launch Center, China",CASC,Price: $69.7 million,Status: Active,Partial Failure,Long March 3A | ChinaSat-5
"Tue Nov 29, 1994 10:21 UTC"," Cape Canaveral SFS, Florida, USA",Lockheed,Price: $0.0 million,Status: Retired,Success,Atlas IIA | Orion 1
"Tue Nov 29, 1994 02:54 UTC"," Plesetsk Cosmodrome, Russia",VKS RF,Price: $0.0 million,Status: Retired,Success,Tsyklon-3 | Geo-IK n°14
"Thu Nov 24, 1994 09:15 UTC"," Baikonur Cosmodrome, Kazakhstan",VKS RF,Price: $0.0 million,Status: Retired,Success,Zenit-2 | Cosmos 2297
"Sun Nov 20, 1994 00:39 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $0.0 million,Status: Retired,Success,"Proton K/Block-DM-2 | Cosmos 2294, 2295 & 2296"
"Fri Nov 11, 1994 07:21 UTC"," Baikonur Cosmodrome, Kazakhstan",Roscosmos,Price: $20.0 million,Status: Retired,Success,Soyuz U | Progress M-25
"Fri Nov 04, 1994 05:47 UTC"," Baikonur Cosmodrome, Kazakhstan",VKS RF,Price: $0.0 million,Status: Retired,Success,Zenit-2 | Resurs-O1 n°3
"Thu Nov 03, 1994 16:59 UTC"," Kennedy Space Center, Florida, USA",NASA,Price: $450.0 million,Status: Retired,Success,Space Shuttle Atlantis | STS-66
"Wed Nov 02, 1994 01:04 UTC"," Baikonur Cosmodrome, Kazakhstan",VKS RF,Price: $0.0 million,Status: Retired,Success,Tsyklon-2 | Cosmos 2293
