Date,Event leading to space exploration,Country,Researcher(s),Ref(s).,Mission success,Mission name,Mission achievements,Country/organization
12 November 2014,,,,[57],First soft landing on a comet (67P/Churyumov–Gerasimenko).,Philae,,ESA
6 March 2015,,,,[58],First flyby and orbit of a dwarf planet (Ceres). First spacecraft to orbit two separate celestial bodies.,Dawn,,USA (NASA)
July 2015,,,,[59],First flyby of an object beyond Neptune (Pluto and its moons). First flyby in the Kuiper belt. First flyby of a trans-neptunian object. Last original encounter with one of the nine major planets recognized before 2006.,New Horizons,,USA (NASA)
10 August 2015,,,,[60],First food grown in space eaten (lettuce).,International Space Station,,USA (NASA) Japan (JAXA)
14 September 2015,,,,[61][62],First observation of gravitational waves.,LIGO – Virgo,,LSC – EGO
23 November 2015,,,,[63],First propulsive landing of a rocket after sending something into space (suborbital).,New Shepard 2,,USA (Blue Origin)
21 December 2015,,,,,First propulsive landing of an orbital rocket.,Falcon 9 first-stage landing tests,,USA (SpaceX)
16 April 2016,,,,[64],First inflatable space habitat.[note 4],BEAM,,USA (Bigelow Aerospace)
15 September 2017,,,,[65],First spacecraft to enter the atmosphere of Saturn.,Cassini–Huygens,,USA (NASA) ESA Italy (ASI)
19 October 2017,,,,,First known interstellar object detected passing through the Solar System.,Oumuamua,,USA (Haleakalā Observatory)
21 September 2018,,,,[66],First operational rover on an asteroid (162173 Ryugu).,Hayabusa2,,Japan (JAXA)
1 December 2018,,,,[67],First recorded sounds from Mars.,InSight,,USA (NASA)
1 January 2019,,,,[68],First flyby of a classical Kuiper belt object (486958 Arrokoth). First flyby of a contact binary. First spacecraft to make two different flybys in the Kuiper belt.,New Horizons,,USA (NASA)
3 January 2019,,,,[69],First soft landing on the far side of the Moon. First germination of seeds on another celestial body.,Chang'e 4,,China (CNSA)
10 April 2019,,,,[70],First direct photograph of a black hole and its vicinity.,Event Horizon Telescope,,USA (NASA)
6 April 2021,,,,[71],First confirmed quake on another planet (marsquake).,InSight,,USA (NASA)
19 April 2021,,,,[72],First aerodynamically powered flight on another celestial body (Mars).,Ingenuity,,USA (NASA)
20 April 2021,,,,[73][74],First in situ resource utilization. First production of oxygen on another celestial body (Mars).,MOXIE,,USA (NASA)
14 December 2021,,,,[75],First spacecraft to fly through the atmosphere of a star (the Sun's corona).,Parker Solar Probe,,USA (NASA)
25 December 2021,,,,[76],Launch of the largest space telescope to date.,James Webb Space Telescope,,USA (NASA) ESA Canada (CSA)
26 September 2022,,,,[77],First asteroid measurably deflected by a spacecraft. First spacecraft to make contact with an asteroid moon (impact on Dimorphos).,DART,,"USA (NASA, SpaceX)"
23 August 2023,,,,[78],First landing at the lunar south polar region.,Chandrayaan-3,,India (ISRO)
22 February 2024,,,,[79],First commercial spacecraft to land on the Moon.,IM-1,,"USA (NASA, SpaceX, Intuitive Machines)"
14 March 2024,,,,[80],First successful demonstration of in space propellant transfer,SpaceX Starship integrated flight test 3,,USA SpaceX
